label,combo_basic,basic,cvalues,term_extractor,textrank,singlerank,positionrank,yake
commerce-cloud,"['b2c commerce', 'release notes', 'commerce for visualforce', 'b2b commerce for visualforce', 'commerce cloud', 'order management', 'b2b commerce', 'lightning community', 'service cloud', 'b2c commerce cloud', 'service agents', 'connection to payment', 'life cycle management', 'customer service agents', 'easy connection to payment']","['release notes', 'commerce for visualforce', 'b2b commerce', 'service agents', 'commerce cloud', 'b2c commerce', 'order management', 'connection to payment', 'service cloud', 'b2b commerce for visualforce', 'lightning community', 'store partners', 'life cycle', 'management for commerce', 'agents in service']","['b2c commerce', 'b2c commerce cloud', 'b2b commerce for visualforce', 'life cycle management', 'lightning community', 'commerce for visualforce', 'order management', 'commerce cloud', 'customer service agents in service cloud', 'site search', 'lightning flow', 'service cloud', 'multichannel orders', 'additional platform cache storage', 'easy connection to payment']","['access', 'access management', 'account', 'account manager', 'accounts', 'actions', 'active', 'active api', 'additional', 'additional integration', 'additional platform', 'additional platform cache', 'additional platform cache storage', 'advantage', 'agents']","['order management shopper records', 'deleting order management records', 'salesforce commerce api release notes', 'order management data', 'salesforce order management', 'customer identity access management', 'order lifecycle management', 'order management objects', 'b2c commerce global release overview', 'order management console', 'order multiple accounts', 'b2c commerce release notes', 'multiple payment methods including po', 'complete life cycle management', 'digital experience management']","['order management data', 'order management objects', 'deleting order management records', 'order management shopper records', 'salesforce order management', 'order lifecycle management', 'customer identity access management', 'order management console', 'b2c commerce global release overview', 'salesforce commerce api release notes', 'b2c commerce cloud', 'order multiple accounts', 'b2c commerce release notes', 'complete life cycle management', 'site management']","['salesforce commerce api release notes', 'salesforce b2b commerce', 'b2c commerce release notes', 'b2c commerce global release overview', 'salesforce order management', 'create b2b commerce buyer experiences', 'b2c commerce cloud', 'upgrade b2b commerce', 'commerce cloud github repositories', 'b2c commerce deployment schedule', 'powerful commerce platform', 'mobile commerce', 'order management data', 'order management objects', 'order lifecycle management']","['b2c commerce cloud', 'order management data', 'lightning community builder', 'b2c commerce release', 'b2c commerce global', 'commerce global release', 'salesforce commerce api', 'commerce release notes', 'commerce for visualforce', 'b2b commerce', 'lightning community worksspaces', 'search engine optimization', 'life cycle management', 'api release notes', 'service cloud']"
community-cloud,"['lightning community', 'lightning community builder', 'advanced sharing', 'customer identity access', 'digital experience management', 'customer identity access management', 'customer identity', 'customizable reports', 'digital experience', 'community builder', 'identity access management', 'identity access', 'community cloud', 'service objects', 'standard objects']","['lightning community', 'customer identity', 'identity access', 'customer identity access', 'lightning community builder', 'advanced sharing', 'digital experience', 'community builder', 'identity access management', 'access management', 'digital experience management', 'customer identity access management', 'experience management', 'customizable reports', 'community lightning']","['lightning community', 'lightning community builder', 'advanced sharing', 'digital experience management', 'customer identity access', 'customer identity access management', 'customizable reports', 'standard objects', 'custom objects', 'customer identity', 'service objects', 'data storage', 'community cloud', 'digital experience', 'community builder']","['access', 'access management', 'access to customer', 'access to customer identity', 'account', 'account portal templates', 'accounts', 'additional', 'additional integration', 'administration', 'advanced', 'advanced sharing', 'analytics', 'api', 'api calls']","['salesforce tabs + visualforce community', 'customer identity access management', 'lightning community templates', 'lightning community models', 'lightning community workspaces', 'lightning community builder', 'community authentication', 'community design strategy', 'manage api access', 'ray community', 'community cloud', 'manage salesforce communities', 'salesforce identity licenses', 'domain identity management', 'customer service portal']","['lightning community builder', 'lightning community templates', 'lightning community models', 'lightning community worksspaces', 'customer identity access management', 'salesforce tabs + visualforce community', 'community cloud', 'community design strategy', 'community authentication', 'ray community', 'digital experience management', 'domain identity management', 'lightning flow automation', 'service objects', 'custom objects']","['lightning community builder', 'lightning community templates', 'lightning community models', 'lightning community worksspaces', 'salesforce tabs + visualforce community', 'community cloud', 'community design strategy', 'community authentication', 'ray community', 'customer identity access management', 'lightning flow automation', 'domain identity management', 'digital experience management', 'service objects', 'salesforce identity licenses']","['lightning community builder', 'lightning community worksspaces', 'lightning community models', 'lightning community templates', 'identity access management', 'digital experience management', 'cms for community', 'customer identity access', 'community lightning', 'community cloud', 'lightning flow automation', 'managing customer identity', 'partner relationship management', 'case management', 'custom objects']"
sales-cloud,"['mobile app', 'data storage per user', 'storage per user', 'integration with gmail', 'mail integration with gmail', 'sales console app', 'developer pro sandbox', 'customizable sales process', 'unlimited custom applications', 'automation of workflow', 'influence of the campaign', 'mobile functionality', 'flow automation', 'unlimited custom', 'opportunity fields']","['mobile app', 'storage per user', 'data storage per user', 'opportunity fields', 'sales cloud', 'integration with gmail', 'mail integration with gmail', 'sales console app', 'developer pro sandbox', 'mobile functionality', 'cloud einstein', 'customizable sales process', 'unlimited custom applications', 'automation of workflow', 'flow automation']","['mobile app', 'data storage per user', 'storage per user', 'mail integration with gmail', 'integration with gmail', 'sales console app', 'developer pro sandbox', 'automation of workflow', 'customizable sales process', 'unlimited custom applications', 'influence of the campaign', 'process builder', 'console app', 'customizable profiles', 'campaign management']","['access', 'account', 'account insights', 'accounts', 'activity', 'activity feed', 'activity flow', 'activity powering', 'advanced', 'advanced priorities', 'advanced priority', 'advanced report', 'advanced report functions', 'advanced reporting', 'advanced reporting features']","['analyze sales cloud einstein data', 'sales cloud einstein works', 'customizable sales process', 'sales console app', 'sales nurture tracks', 'sales maintenance tracks', 'sales cloud basics', 'high velocity sales', 'smart sales assistant', 'intelligent sales assistant', 'sales productivity', 'sales features', 'sales teams', 'sales professional', 'sales orders']","['lead management', 'salesforce mobile app', 'sales console app', 'mobile app forecast', 'customizable sales process', 'lead score based', 'based automatic lead', 'opportunity management', 'analyze sales cloud einstein data', 'lightning app builder', 'lead registration', 'lead capture', 'campaign management', 'business territory management', 'lead scoring']","['salesforce mobile app', 'lead management', 'sales console app', 'customizable sales process', 'mobile app forecast', 'analyze sales cloud einstein data', 'based lead score', 'opportunity management', 'based automatic lead', 'salesforce experience', 'lightning app builder', 'sales cloud einstein works', 'campaign management', 'lead registration', 'lead capture']","['salesforce mobile app', 'sales console app', 'lightning app builder', 'customizable sales process', 'forecasting mobile app', 'lightning flow automation', 'developer pro sandbox', 'based lead scoring', 'lead management', 'web services api', 'stream flow automation', 'lead registration', 'opportunity management', 'google apps integration', 'lead capture']"
salesforce-quote-to-cash,"['salesforce billing', 'order management', 'revenue recognition', 'advanced approvals', 'salesforce cpq', 'price book', 'billing payment', 'parallel revenue', 'salesforce billing payment', 'complex revenue', 'advanced order management', 'invoice credit notes', 'multiple finance books', 'salesforce billing payment apps', 'element revenue recognition']","['salesforce billing', 'billing payment', 'revenue recognition', 'salesforce cpq', 'parallel revenue', 'patch notes', 'complex revenue', 'order management', 'revenue reporting', 'vsoe revenue', 'payment applications', 'processes with salesforce', 'salesforce billing payment', 'asset lifecycle', 'billing patch']","['order management', 'advanced approvals', 'price book', 'salesforce billing', 'advanced order management', 'multiple finance books', 'invoice credit notes', 'revenue recognition', 'salesforce billing payment', 'element revenue recognition', 'salesforce cpq', 'salesforce billing payment apps', 'advanced order', 'finance books', 'multiple finance']","['advanced', 'advanced approvals', 'advanced order', 'advanced order management', 'allocations', 'amendments', 'apis', 'applications', 'approvals', 'apps', 'assets', 'bill', 'billing', 'billing milestone', 'billing payment']","['salesforce billing patch notes', 'salesforce billing payment apps', 'salesforce billing payment applications', 'revenue recognition reporting', 'element revenue recognition', 'revenue recognition process', 'vsoe revenue reports', 'salesforce cpq patch notes', 'complex revenue reports', 'salesforce billing overview', 'salesforce billing installation', 'invoice billing', 'revenue schedule', 'salesforce cpq apis', 'parallel revenue schedules']","['salesforce billing patch notes', 'advanced order management', 'salesforce billing payment apps', 'salesforce billing payment applications', 'salesforce cpq patch notes', 'salesforce billing overview', 'salesforce billing installation', 'revenue recognition reporting', 'element revenue recognition', 'vsoe revenue reports', 'complex revenue reports', 'revenue recognition process', 'invoice billing', 'salesforce cpq apis', 'billing order']","['salesforce cpq patch notes', 'salesforce billing patch notes', 'salesforce billing payment apps', 'salesforce billing payment applications', 'salesforce cpq apis', 'salesforce billing overview', 'salesforce billing installation', 'advanced order management', 'manage quotes', 'edit cpq quotes', 'billing order', 'invoice billing', 'revenue recognition reporting', 'element revenue recognition', 'complex revenue reports']","['salesforce billing payment', 'advanced order management', 'bill now invoicing', 'invoice credit notes', 'salesforce cpq patch', 'salesforce billing overview', 'salesforce billing installation', 'salesforce cpq apis', 'multiple finance books', 'automated payments', 'salesforce invoicing payment', 'complex revenue reports', 'quote line editor', 'conditional quote terms', 'advanced approvals']"
service-cloud,"['next best action', 'best action', 'web services api', 'service console', 'case management', 'data storage per user', 'storage per user', 'web services', 'advanced case management', 'developer pro sandbox', 'social customer service', 'services api', 'unlimited custom applications', 'mobile app', 'phone integration']","['next best action', 'service console', 'call data', 'best action', 'storage per user', 'case management', 'web services api', 'web services', 'data storage per user', 'live call', 'data visibility', 'services api', 'advanced case management', 'developer pro sandbox', 'mobile app']","['next best action', 'web services api', 'best action', 'case management', 'service console', 'data storage per user', 'storage per user', 'web services', 'developer pro sandbox', 'advanced case management', 'social customer service', 'services api', 'unlimited custom applications', 'phone integration', 'service rights']","['access', 'account', 'account management', 'action', 'activity', 'activity feed', 'activity flow', 'activity powering', 'advanced', 'advanced case', 'advanced case management', 'advanced report', 'advanced report functions', 'advanced reporting', 'advanced reporting features']","['service console app', 'service console applications', 'service cloud printed resources', 'service cloud reporting', 'service cloud support', 'service cloud features', 'service cloud channels', 'social customer service', 'service analytics', 'know service setup', 'service setup assistant', 'service orders', 'service commands', 'service contracts', 'service rights']","['service console app', 'service console applications', 'social customer service', 'advanced case management', 'service contracts', 'service cloud routing', 'service cloud support', 'service cloud features', 'service rights', 'service orders', 'service cloud printed resources', 'integration appexchange app', 'service cloud channels', 'service analytics', 'service setup assistant']","['service cloud printed resources', 'service cloud features', 'service cloud reporting', 'service console app', 'service cloud support', 'service cloud channels', 'service console applications', 'social customer service', 'service contracts', 'service rights', 'service orders', 'service setup assistant', 'know service setup', 'field service', 'service fees']","['service console app', 'advanced case management', 'lightning app builder', 'salesforce mobile app', 'web services api', 'social customer service', 'developer pro sandbox', 'computer phone integration', 'google apps integration', 'lightning flow automation', 'service console applications', 'contact account management', 'appexchange app integration', 'lead account management', 'stream flow automation']"
