,__run,_params,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
203,204.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 3, 'threshold': 0.15, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5641025641025641,0.5847871286106581,0.5637152777777777,0.7038708904614477,78.0,0.5486918063388652,0.6046652421652422,0.5641025641025641,78.0
204,205.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 3, 'threshold': 0.2, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6538461538461539,0.6508788543328017,0.6135416666666667,0.7484280554326994,78.0,0.6457769326190379,0.6794871794871795,0.6538461538461539,78.0
205,206.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 3, 'threshold': 0.2, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6410256410256411,0.6670265780730897,0.6371794871794871,0.7259158926728586,78.0,0.6084589828775876,0.5984549638395793,0.6410256410256411,78.0
206,207.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 3, 'threshold': 0.25, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6153846153846154,0.6793874007936509,0.7246212121212121,0.7116882279227481,78.0,0.6072715710215711,0.7256021756021755,0.6153846153846154,78.0
207,208.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 3, 'threshold': 0.25, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5512820512820513,0.65648204196933,0.6941964285714286,0.6764189886480908,78.0,0.51820843939488,0.596001221001221,0.5512820512820513,78.0
208,209.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 4, 'threshold': 0.1, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5769230769230769,0.5367361867361867,0.4998015873015873,0.6460178223336118,78.0,0.5419325073171227,0.5566086691086691,0.5769230769230769,78.0
209,210.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 4, 'threshold': 0.1, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5641025641025641,0.5296940417683452,0.5245098039215685,0.6696655132641292,78.0,0.525374535495993,0.6701566951566951,0.5641025641025641,78.0
210,211.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 4, 'threshold': 0.15, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6153846153846154,0.5973687326628502,0.5718720821661999,0.6936580204837353,78.0,0.602134129057206,0.6619759869759871,0.6153846153846154,78.0
211,212.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 4, 'threshold': 0.15, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5641025641025641,0.5684953861424449,0.5405929038281978,0.6703939780246464,78.0,0.5421406754740088,0.5539835164835164,0.5641025641025641,78.0
212,213.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 4, 'threshold': 0.2, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6794871794871795,0.6532295271049596,0.6481875102982368,0.7113232909262777,78.0,0.6767806267806268,0.7295482295482295,0.6794871794871795,78.0
213,214.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 4, 'threshold': 0.2, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6538461538461539,0.6769052086125257,0.6921875,0.7295923632610939,78.0,0.6300705912807226,0.6441239316239316,0.6538461538461539,78.0
214,215.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 4, 'threshold': 0.25, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6410256410256411,0.6494040753556325,0.6943390259329538,0.668914500784834,78.0,0.6397854868443104,0.7456920319823545,0.6410256410256411,78.0
215,216.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 4, 'threshold': 0.25, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6153846153846154,0.686564544326641,0.743421052631579,0.6925374097007224,78.0,0.5838802705428016,0.6373144399460189,0.6153846153846154,78.0
216,217.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 5, 'threshold': 0.1, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5769230769230769,0.4821203487870154,0.44821428571428573,0.5944305207463102,78.0,0.5271790887175503,0.5236416361416362,0.5769230769230769,78.0
217,218.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 5, 'threshold': 0.1, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5897435897435898,0.584547397047397,0.6208333333333333,0.7204481792717087,78.0,0.5739724662801586,0.7222222222222222,0.5897435897435898,78.0
218,219.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 5, 'threshold': 0.15, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6153846153846154,0.5463761212987219,0.5248685439087917,0.6390361717442395,78.0,0.5978303747534516,0.6426536426536427,0.6153846153846154,78.0
219,220.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 5, 'threshold': 0.15, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5897435897435898,0.633458426105485,0.6840277777777777,0.721609169983783,78.0,0.6013516956201723,0.7287749287749288,0.5897435897435898,78.0
220,221.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 5, 'threshold': 0.2, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6666666666666666,0.5938557384377818,0.5875233426704015,0.653241234574325,78.0,0.6593610569319072,0.7048509361009361,0.6666666666666666,78.0
221,222.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 5, 'threshold': 0.2, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6538461538461539,0.6340091850693765,0.6857142857142857,0.7039814610054549,78.0,0.6408847916029858,0.7904761904761904,0.6538461538461539,78.0
222,223.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 5, 'threshold': 0.25, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6538461538461539,0.6289477823214847,0.6776091081593928,0.6418277527729357,78.0,0.6520127748068925,0.753791011855528,0.6538461538461539,78.0
223,224.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 5, 'threshold': 0.25, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6153846153846154,0.6531568336162987,0.7505208333333333,0.665751695415008,78.0,0.5962441774411215,0.8039529914529915,0.6153846153846154,78.0
224,225.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 6, 'threshold': 0.1, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6153846153846154,0.4944887174864291,0.5040343915343914,0.5977918652841253,78.0,0.600628582823619,0.7746336996336997,0.6153846153846154,78.0
